Common name,Binomial name,Population,Status,Trend,Notes,Image
*Oribi*,*Ourebia ourebi*,*750 000*[112],LC[112],[112],,
*African buffalo*,*Syncerus caffer*,*890 000*[113],LC[113],[113],"Considered conservative. Divided into four subspecies: West African Savanna 
(27 000), Central African Savanna (133 000), Southern Savanna (670 000), & 
Forest (60 000).[113]",
*Kirk's dik-dik*,*Madoqua kirkii*,*971 000*[114],LC[114],[114],,
*Siberian roe deer*,*Capreolus pygargus*,*1 000 000*[115],LC[115],[115],About 500 000 were hunted annually in Russia in the 1800s.[115],
*Bushbuck*,*Tragelaphus scriptus*,*1 340 000*[116],LC[116],[116],Estimate is considered conservative.[116],
*Eurasian elk*,*Alces alces*,*1 500 000*[117],LC[117],[117],,
*Blue wildebeest*,*Connochaetes taurinus*,*1 550 000*[118],LC[118],[118],,
*Common duiker*,*Sylvicapra grimmia*,*1 660 000*[119],LC[119],[119],"Considered extremely conservative; yet-to-be-published research shows it 
may number as high as 10 000 000.[119]",
*Impala*,*Aepyceros melampus*,*2 000 000*[120],LC[120],[120],,
*Springbok*,*Antidorcas marsupialis*,*2 000 000 – 2 500 000*[121],LC[121],[121],,
*Maxwell's duiker*,*Philantomba maxwellii*,*2 137 000*[122],LC[122],[122],Quite possibly underestimated.[122],
*Blue duiker*,*Philantomba monticola*,*7 000 000*[123],LC[123],[123],Estimate is considered conservative.[123],
*Domestic goat*,*Capra aegagrus hircus*,*850 000 000*[124],Domesticated,,,
*Cattle*,*Bos primigenius*,*1 000 000 000*[125],Domesticated,,,
*Domestic pig*,*Sus scrofa domesticus*,*1 000 000 000*[126],Domesticated,,,
*Domestic sheep*,*Ovis aries*,*1 000 000 000*[126],Domesticated,,,
*Water buffalo*,*Bubalus bubalis*,"*172 000 000*
incl. 3.2 Million Carabao in the Philippines[127]",Domestic,,,
